timestamp,src_ip,dst_ip,protocol,length,src_port,dst_port,anomaly_type,payload_entropy,ttl,src_flow_count_window,label,Total_Flow_Rate
2025-11-20 03:51:18.544543,192.168.1.10,142.250.190.78,TCP,555,6326,443,0,0.9072458711248889,56,1.0,Normal,1.0
2025-11-20 03:51:22.144543,192.168.1.10,192.168.1.5,TCP,662,33685,22,0,0.9343658015983225,56,2.0,Normal,2.0
2025-11-20 03:51:25.744543,192.168.1.10,192.168.1.5,TCP,327,13507,22,0,0.943515595565008,61,3.0,Normal,3.0
2025-11-20 03:51:29.344543,192.168.1.10,142.250.190.78,TCP,148,24295,443,0,0.9580729428140261,62,4.0,Normal,4.0
2025-11-20 03:51:32.944543,192.168.1.10,192.168.1.5,TCP,355,25167,22,0,0.9319466168538677,61,5.0,Normal,5.0
2025-11-20 03:51:36.544543,192.168.1.10,192.168.1.5,TCP,371,38877,22,0,0.943035789548711,60,6.0,Normal,6.0
2025-11-20 03:51:40.144543,192.168.1.10,192.168.1.5,TCP,578,64661,22,0,0.8920071456178453,59,7.0,Normal,7.0
2025-11-20 03:51:43.744543,192.168.1.10,203.0.113.10,TCP,219,8588,80,0,0.8894119302131122,59,8.0,Normal,8.0
2025-11-20 03:51:47.344543,192.168.1.10,142.250.190.78,TCP,108,59834,443,0,0.958608361088125,61,9.0,Normal,9.0
2025-11-20 03:51:50.944543,192.168.1.10,142.250.190.78,TCP,258,34183,443,0,0.9450672609779339,56,10.0,Normal,10.0
2025-11-20 03:51:54.544543,192.168.1.10,192.168.1.5,TCP,655,25909,22,0,0.9210996023842497,58,11.0,Normal,11.0
2025-11-20 03:51:58.144543,192.168.1.10,192.168.1.5,TCP,553,23796,22,0,0.8521686718267817,61,12.0,Normal,12.0
2025-11-20 03:52:01.744543,192.168.1.10,203.0.113.10,TCP,1304,44112,80,0,0.9286980938695807,62,13.0,Normal,13.0
2025-11-20 03:52:05.344543,192.168.1.10,142.250.190.78,TCP,94,22527,443,0,0.943125157334465,59,14.0,Normal,14.0
2025-11-20 03:52:08.944543,192.168.1.10,203.0.113.10,TCP,635,32129,80,0,0.9667128345843279,64,15.0,Normal,15.0
2025-11-20 03:52:12.544543,192.168.1.10,203.0.113.10,TCP,320,29778,80,0,0.9119477309763615,60,16.0,Normal,16.0
2025-11-20 03:52:16.144543,192.168.1.10,192.168.1.5,TCP,1414,46313,22,0,0.9682537658963525,59,17.0,Normal,17.0
2025-11-20 03:52:19.744543,192.168.1.10,203.0.113.10,TCP,595,52215,80,0,0.9244147190821352,59,18.0,Normal,18.0
2025-11-20 03:52:23.344543,192.168.1.10,142.250.190.78,TCP,624,7509,443,0,0.9734011575233893,61,19.0,Normal,19.0
2025-11-20 03:52:26.944543,192.168.1.10,142.250.190.78,TCP,1435,20108,443,0,0.9441341515439383,56,20.0,Normal,20.0
2025-11-20 03:52:30.544543,192.168.1.10,8.8.8.8,UDP,763,64229,53,0,0.9435901318264057,55,21.0,Normal,20.0
2025-11-20 03:52:34.144543,192.168.1.10,142.250.190.78,TCP,730,54572,443,0,0.8581027169538606,64,22.0,Normal,20.0
2025-11-20 03:52:37.744543,192.168.1.10,203.0.113.10,TCP,1193,14685,80,0,0.9044324567277613,61,23.0,Normal,20.0
2025-11-20 03:52:41.344543,192.168.1.10,142.250.190.78,TCP,136,58475,443,0,0.8695278880767361,57,24.0,Normal,20.0
2025-11-20 03:52:44.944543,192.168.1.10,8.8.8.8,UDP,1134,42147,53,0,0.8520648571678847,56,25.0,Normal,20.0
2025-11-20 03:52:48.544543,192.168.1.10,8.8.8.8,UDP,485,17022,53,0,0.8880592186129885,59,26.0,Normal,20.0
2025-11-20 03:52:52.144543,192.168.1.10,8.8.8.8,UDP,1057,26566,53,0,0.8887187705261437,58,27.0,Normal,20.0
2025-11-20 03:52:55.744543,192.168.1.10,203.0.113.10,TCP,1348,47465,80,0,0.9195396272385541,59,28.0,Normal,20.0
2025-11-20 03:52:59.344543,192.168.1.10,8.8.8.8,UDP,844,42917,53,0,0.9352117969015947,63,29.0,Normal,20.0
2025-11-20 03:53:02.944543,192.168.1.10,142.250.190.78,TCP,1124,42929,443,0,0.9115537090834411,55,30.0,Normal,20.0
2025-11-20 03:53:06.544543,192.168.1.10,203.0.113.10,TCP,360,17565,80,0,0.9070300104562821,59,31.0,Normal,20.0
2025-11-20 03:53:10.144543,192.168.1.10,203.0.113.10,TCP,173,22590,80,0,0.9090682259119668,57,32.0,Normal,20.0
2025-11-20 03:53:13.744543,192.168.1.10,192.168.1.5,TCP,202,58527,22,0,0.961051336517507,62,33.0,Normal,20.0
2025-11-20 03:53:17.344543,192.168.1.10,192.168.1.5,TCP,1158,37126,22,0,0.8577439151730857,57,34.0,Normal,20.0
2025-11-20 03:53:20.944543,192.168.1.10,192.168.1.5,TCP,1066,39206,22,0,0.896506760059271,64,35.0,Normal,20.0
2025-11-20 03:53:24.544543,192.168.1.10,203.0.113.10,TCP,705,60005,80,0,0.8942319529898533,62,36.0,Normal,20.0
2025-11-20 03:53:28.144543,192.168.1.10,192.168.1.5,TCP,1413,37303,22,0,0.8535038860440005,58,37.0,Normal,20.0
2025-11-20 03:53:31.744543,192.168.1.10,142.250.190.78,TCP,601,40654,443,0,0.9726253771515045,61,38.0,Normal,20.0
2025-11-20 03:53:35.344543,192.168.1.10,8.8.8.8,UDP,940,57593,53,0,0.8854388317684672,58,39.0,Normal,20.0
2025-11-20 03:53:38.944543,192.168.1.10,8.8.8.8,UDP,606,55424,53,0,0.8821603534519403,57,40.0,Normal,20.0
2025-11-20 03:53:42.544543,192.168.1.10,203.0.113.10,TCP,1342,37709,80,0,0.9741901662845347,59,41.0,Normal,20.0
2025-11-20 03:53:46.144543,192.168.1.10,192.168.1.5,TCP,570,52654,22,0,0.901449378749161,60,42.0,Normal,20.0
2025-11-20 03:53:49.744543,192.168.1.10,8.8.8.8,UDP,312,20021,53,0,0.8903397651783603,64,43.0,Normal,20.0
2025-11-20 03:53:53.344543,192.168.1.10,203.0.113.10,TCP,234,60094,80,0,0.8569542676660071,59,44.0,Normal,20.0
2025-11-20 03:53:56.944543,192.168.1.10,192.168.1.5,TCP,1294,18705,22,0,0.87810722482004,58,45.0,Normal,20.0
2025-11-20 03:54:00.544543,192.168.1.10,192.168.1.5,TCP,156,23572,22,0,0.8640059965990134,58,46.0,Normal,20.0
2025-11-20 03:54:04.144543,192.168.1.10,142.250.190.78,TCP,106,43062,443,0,0.94135705363773,60,47.0,Normal,20.0
2025-11-20 03:54:07.744543,192.168.1.10,192.168.1.5,TCP,1321,24990,22,0,0.9153413359881377,63,48.0,Normal,20.0
2025-11-20 03:54:11.344543,192.168.1.10,192.168.1.5,TCP,278,64646,22,0,0.8564783906408675,55,49.0,Normal,20.0
2025-11-20 03:54:14.944543,192.168.1.10,192.168.1.5,TCP,370,41313,22,0,0.8514164612407872,61,50.0,Normal,20.0
2025-11-20 03:54:18.544543,192.168.1.10,8.8.8.8,UDP,518,2184,53,0,0.9712233061801276,61,50.0,Normal,20.0
2025-11-20 03:54:22.144543,192.168.1.10,192.168.1.5,TCP,1453,62909,22,0,0.9662343920585379,57,50.0,Normal,20.0
2025-11-20 03:54:25.744543,192.168.1.10,142.250.190.78,TCP,972,42783,443,0,0.9334162654366944,56,50.0,Normal,20.0
2025-11-20 03:54:29.344543,192.168.1.10,142.250.190.78,TCP,1123,29459,443,0,0.9165304943887677,63,50.0,Normal,20.0
2025-11-20 03:54:32.944543,192.168.1.10,142.250.190.78,TCP,387,62477,443,0,0.9529129688579961,58,50.0,Normal,20.0
2025-11-20 03:54:36.544543,192.168.1.10,203.0.113.10,TCP,1010,21842,80,0,0.9532187083441882,55,50.0,Normal,20.0
2025-11-20 03:54:40.144543,192.168.1.10,192.168.1.5,TCP,437,11452,22,0,0.8512146450107518,57,50.0,Normal,20.0
2025-11-20 03:54:43.744543,192.168.1.10,8.8.8.8,UDP,374,57425,53,0,0.9361357588923274,58,50.0,Normal,20.0
2025-11-20 03:54:47.344543,192.168.1.10,142.250.190.78,TCP,1323,40233,443,0,0.8539817798713344,57,50.0,Normal,20.0
2025-11-20 03:54:50.944543,192.168.1.10,8.8.8.8,UDP,926,36012,53,0,0.852961214237049,63,50.0,Normal,20.0
2025-11-20 03:54:54.544543,192.168.1.10,192.168.1.5,TCP,510,61632,22,0,0.8803674220278324,55,50.0,Normal,20.0
2025-11-20 03:54:58.144543,192.168.1.10,192.168.1.5,TCP,1379,52624,22,0,0.9190975418280563,64,50.0,Normal,20.0
2025-11-20 03:55:01.744543,192.168.1.10,8.8.8.8,UDP,799,14936,53,0,0.9202737286040008,59,50.0,Normal,20.0
2025-11-20 03:55:05.344543,192.168.1.10,8.8.8.8,UDP,566,15770,53,0,0.9486621733049362,56,50.0,Normal,20.0
2025-11-20 03:55:08.944543,192.168.1.10,142.250.190.78,TCP,575,30521,443,0,0.9205976216116859,63,50.0,Normal,20.0
2025-11-20 03:55:12.544543,192.168.1.10,203.0.113.10,TCP,1091,36522,80,0,0.9064059148871704,59,50.0,Normal,20.0
2025-11-20 03:55:16.144543,192.168.1.10,8.8.8.8,UDP,762,1446,53,0,0.9260815346097572,63,50.0,Normal,20.0
2025-11-20 03:55:19.744543,192.168.1.10,203.0.113.10,TCP,1438,46876,80,0,0.909075583396226,60,50.0,Normal,20.0
2025-11-20 03:55:23.344543,192.168.1.10,192.168.1.5,TCP,132,64414,22,0,0.87336540024425,58,50.0,Normal,20.0
2025-11-20 03:55:26.944543,192.168.1.10,142.250.190.78,TCP,1451,31545,443,0,0.8675113265794807,56,50.0,Normal,20.0
2025-11-20 03:55:30.544543,192.168.1.10,8.8.8.8,UDP,974,2815,53,0,0.920096001022478,58,50.0,Normal,20.0
2025-11-20 03:55:34.144543,192.168.1.10,8.8.8.8,UDP,828,22403,53,0,0.8791597295259665,57,50.0,Normal,20.0
2025-11-20 03:55:37.744543,192.168.1.10,192.168.1.5,TCP,1300,28346,22,0,0.9641342158131152,55,50.0,Normal,20.0
2025-11-20 03:55:41.344543,192.168.1.10,8.8.8.8,UDP,859,10084,53,0,0.9327449355992171,63,50.0,Normal,20.0
2025-11-20 03:55:44.944543,192.168.1.10,142.250.190.78,TCP,755,10313,443,0,0.8716107100136296,61,50.0,Normal,20.0
2025-11-20 03:55:48.544543,192.168.1.10,203.0.113.10,TCP,243,37182,80,0,0.8847079378598308,58,50.0,Normal,20.0
2025-11-20 03:55:52.144543,192.168.1.10,8.8.8.8,UDP,244,59644,53,0,0.8908841317225684,57,50.0,Normal,20.0
2025-11-20 03:55:55.744543,192.168.1.10,192.168.1.5,TCP,923,14198,22,0,0.9618569681050945,63,50.0,Normal,20.0
2025-11-20 03:55:59.344543,192.168.1.10,203.0.113.10,TCP,1073,28054,80,0,0.9094672645572663,62,50.0,Normal,20.0
2025-11-20 03:56:02.944543,192.168.1.10,142.250.190.78,TCP,993,45126,443,0,0.9137180572631443,62,50.0,Normal,20.0
